name,uid,M2014,F2014,M2015,F2015,M2016,F2016,M2017,F2017,M2018,F2018,M2019,F2019,M2020,F2020,M2021,F2021,M2022,F2022,M2023,F2023,M2024,F2024,M2025,F2025
CU Matoto,FJzm5nC8oNT,336943,335096,347344,344849,357670,354515,368225,364376,378998,374428,389986,384669,401189,395102,412612,405729,424248,416552,436099,427573,448168,438797,460459,450227
CU Ratoma,b6ZzbPFKXJG,331040,327374,341257,336901,351401,346343,361770,355977,372353,365796,383148,375800,394154,385991,405376,396372,416807,406945,428449,417711,440306,428676,452380,439841
ISV Conakry,odY5MzWb1jc,0,0,0,0,0,0,1,0,0,-1,-1,0,1,0,-1,-1,1,-2,0,0,1,1,1,0
CR Arfamoussayah,cniFm57HbH6,7780,8887,8021,9146,8260,9403,8504,9665,8753,9932,9007,10205,9267,10482,9531,10765,9800,11052,10074,11345,10354,11644,10638,11947
CR Banko,fHCoQADZ1kE,11283,12544,11632,12910,11978,13273,12332,13642,12694,14019,13062,14404,13438,14795,13821,15193,14212,15599,14609,16013,15014,16434,15426,16862
CR Bissikrima,fCKbRSJ9upd,13523,15378,13942,15827,14357,16271,14781,16725,15215,17187,15657,17658,16107,18138,16567,18627,17035,19125,17511,19632,17997,20148,18491,20674
CU Dabola,DtamTBvcA2u,18613,20205,19188,20794,19759,21378,20343,21973,20939,22580,21547,23199,22167,23829,22798,24470,23442,25124,24098,25789,24765,26467,25445,27157
CR Dogomet,XYx5IaGbAKU,12978,15025,13380,15463,13779,15898,14186,16341,14602,16793,15026,17253,15459,17722,15900,18200,16349,18686,16807,19182,17273,19687,17747,20200
CR Kankama,NzCtTJwakTz,6363,7056,6560,7262,6755,7466,6955,7674,7159,7886,7366,8102,7578,8322,7794,8546,8015,8775,8239,9007,8467,9244,8700,9485
CR Kindoye,kbmlNePgKW3,3075,3366,3170,3464,3264,3561,3361,3660,3459,3761,3560,3864,3662,3969,3767,4076,3873,4185,3981,4296,4092,4409,4204,4524
CR Konendou,TcEpaa6mLHE,4711,5394,4857,5552,5001,5707,5149,5867,5300,6029,5454,6194,5611,6362,5771,6534,5934,6708,6100,6886,6270,7067,6442,7252
CR Nd�ma,wX8otKbLe3M,7849,8765,8091,9021,8332,9274,8579,9532,8830,9796,9086,10064,9348,10337,9614,10616,9886,10900,10162,11188,10444,11483,10731,11782
DPS Dabola,GUSZlo8f9t8,0,2,-1,0,0,0,0,1,-1,1,1,0,0,1,1,0,0,0,2,1,-1,-1,1,1
CR Banora,nokLRfYRMHV,16747,17388,17264,17894,17778,18396,18303,18908,18838,19430,19385,19962,19942,20503,20510,21055,21089,21617,21678,22190,22279,22772,22890,23366
CR Dialakoro,uWfLv71b1gA,7143,7876,7364,8105,7583,8333,7807,8565,8036,8802,8269,9043,8507,9289,8750,9539,8997,9794,9249,10053,9505,10317,9766,10586
CR Diatif�r�,T52Brfx15rp,16195,17773,16695,18291,17192,18805,17700,19329,18219,19863,18748,20407,19287,20961,19837,21525,20397,22100,20968,22686,21549,23282,22141,23890
CU Dinguiraye,H9CbwnKnh9n,22920,24652,23628,25370,24332,26082,25050,26809,25784,27549,26533,28303,27296,29072,28074,29855,28866,30652,29673,31464,30495,32291,31333,33133
CR Gagnakaly,qsJDHv2p5e9,6193,6578,6384,6770,6574,6960,6768,7153,6966,7351,7168,7552,7374,7757,7585,7966,7799,8179,8017,8395,8239,8616,8465,8841
CR Kalinko,sz5qAntKeN0,15233,17031,15704,17528,16172,18020,16650,18522,17138,19034,17635,19556,18143,20087,18660,20628,19187,21179,19724,21741,20271,22312,20827,22894
CR Lansanaya,rcNu2jNlfw5,4459,4731,4596,4869,4733,5006,4873,5145,5016,5287,5161,5432,5310,5579,5461,5729,5615,5882,5772,6038,5932,6197,6095,6358
CR S�louma,xQdyHwBBvwS,6293,6992,6488,7196,6681,7398,6879,7604,7080,7814,7286,8028,7495,8246,7709,8468,7927,8694,8149,8925,8375,9159,8604,9398
DPS Dinguiraye,IPv04VSahDi,0,0,1,0,0,-1,0,0,0,-1,0,-1,1,0,0,1,1,1,0,-1,-1,1,0,0
CR Banian,Ne4GYjIt7wI,17835,19137,18386,19694,18933,20247,19492,20811,20063,21385,20646,21971,21239,22568,21845,23175,22461,23794,23089,24424,23729,25066,24380,25720
CR Beindou,XokzeeA2B1x,7948,8836,8193,9093,8437,9349,8687,9609,8941,9875,9201,10145,9465,10421,9735,10701,10010,10987,10290,11278,10576,11575,10866,11877
CU Faranah,lb53NElnxEy,38675,39961,39869,41124,41055,42278,42267,43454,43505,44654,44767,45876,46053,47121,47365,48389,48702,49680,50063,50995,51449,52335,52861,53699
CR Nialia,NE2MpxB4fts,6941,7835,7156,8064,7369,8290,7587,8521,7809,8757,8036,8997,8267,9241,8503,9490,8743,9744,8988,10002,9237,10265,9491,10533
CR H�r�makono,H9KCdCXZztr,6181,7017,6373,7222,6562,7424,6756,7631,6954,7842,7156,8057,7362,8276,7572,8499,7786,8726,8004,8958,8226,9193,8452,9433
CR Kobikoro,cm2U8Hw6WTl,6699,7338,6906,7552,7112,7764,7322,7980,7536,8201,7755,8425,7978,8654,8206,8887,8438,9124,8674,9366,8914,9612,9159,9863
CR Marella,d2o2YXHoSgT,15627,17320,16110,17825,16589,18325,17080,18836,17580,19356,18091,19887,18611,20427,19142,20977,19682,21538,20233,22108,20794,22690,21365,23281
CR Passaya,Cs0vpn8x153,9598,10447,9894,10752,10189,11054,10490,11361,10797,11675,11111,11995,11430,12321,11756,12653,12088,12991,12426,13335,12770,13685,13121,14042
CR Sand�nia,bmS9w09gbOB,8426,9313,8686,9584,8945,9854,9209,10128,9479,10408,9754,10693,10035,10983,10321,11279,10613,11581,10910,11888,11212,12200,11520,12518
CR Songoyah,am0OTsxGA9U,6486,6967,6687,7170,6886,7371,7089,7576,7297,7785,7508,7998,7724,8216,7945,8437,8169,8662,8397,8892,8630,9125,8867,9363
CR Tindo,G5hloBc1ixT,2394,2678,2468,2757,2541,2834,2616,2913,2693,2993,2771,3075,2851,3159,2932,3244,3015,3331,3100,3419,3186,3509,3273,3600
CR Tiro,cig8gcEGMFx,9068,9998,9348,10290,9626,10579,9911,10873,10201,11174,10497,11480,10799,11792,11107,12109,11421,12433,11741,12762,12066,13098,12397,13439
DPS Faranah,qmVkCsfziWM,-1,0,0,-1,1,-2,1,2,2,0,1,1,4,-1,1,1,1,0,0,1,-1,0,0,1
CR Albadariah,L8mMLORahue,8278,8742,8533,8996,8787,9249,9047,9506,9312,9769,9582,10036,9857,10309,10138,10586,10424,10869,10716,11157,11013,11450,11315,11748
CR Banama,x6xMbAPc2eF,4247,4677,4378,4813,4508,4948,4642,5086,4778,5226,4916,5370,5058,5515,5202,5664,5349,5815,5498,5969,5651,6126,5806,6286
CR Bardou,kwalyeZ92oN,4679,5126,4823,5275,4967,5423,5114,5574,5263,5728,5416,5885,5572,6045,5731,6208,5893,6374,6058,6543,6225,6715,6396,6890
CR Beindou,xAIfiR5urEg,7018,7868,7235,8097,7450,8325,7671,8557,7896,8793,8125,9034,8359,9279,8597,9529,8840,9784,9087,10043,9339,10307,9596,10576
